Borough Code,Borough Name
E09000021,Kingston upon Thames
E09000008,Croydon
E09000006,Bromley
E09000018,Hounslow
E09000009,Ealing
E09000016,Havering
E09000017,Hillingdon
E09000015,Harrow
E09000005,Brent
E09000003,Barnet
E09000022,Lambeth
E09000028,Southwark
E09000023,Lewisham
E09000011,Greenwich
E09000004,Bexley
E09000010,Enfield
E09000031,Waltham Forest
E09000026,Redbridge
E09000029,Sutton
E09000027,Richmond upon Thames
E09000024,Merton
E09000032,Wandsworth
E09000013,Hammersmith and Fulham
E09000020,Kensington and Chelsea
E09000033,Westminster
E09000007,Camden
E09000030,Tower Hamlets
E09000019,Islington
E09000012,Hackney
E09000014,Haringey
E09000025,Newham
E09000002,Barking and Dagenham
E09000001,City of London
